,placeId,userId,score
214,1440196,42bryant,3
215,3822061,42bryant,3
216,325043,42bryant,4
217,4798711,42bryant,3
218,6656809,42bryant,3
219,1169465,42bryant,4
220,554537,42bryant,4
221,1046419,42bryant,4
222,554537,430fion,5
223,325043,430fion,3
224,5971975,450상준김,4
225,2194168,474eunjungp,3
226,592658,474eunjungp,4
227,1169465,485ambere,5
228,324888,488성재이,5
229,2008729,488혜진김,4
230,2194168,48samuely,5
231,609340,4evergrace,4
232,1604009,4evergrace,4
233,1169465,518eunjungc,5
234,1551271,518eunjungc,5
235,553546,537호진이,4
236,324891,537호진이,4
237,8737878,538gracek,4
238,8842556,541andyl,4
239,592483,541andyl,4
240,2194168,582dudu,5
241,2341905,582dudu,4
242,554537,582dudu,4
243,6378743,582dudu,5
244,1958940,582dudu,4
245,2203080,582dudu,4
246,1379963,589minkyungs,5
247,6656809,603종혁김,4
248,554537,603종혁김,4
249,592506,603종혁김,4
250,592490,603종혁김,4
251,4798711,603종혁김,5
252,8693245,616준형김,5
253,1579821,640lims,5
254,7028432,640lims,5
255,561808,640lims,5
256,2194168,673jinhwank,5
257,1552278,684현진박,4
258,553546,684현진박,3
259,6671988,69qkrdmsdud,5
260,6671988,6동대장,4
261,2194168,6동대장,5
262,1046419,6동대장,5
263,324888,6동대장,5
264,1169465,6동대장,4
265,553546,6동대장,3
266,592506,6동대장,4
267,1169465,700보람김,3
268,1379963,701irenek,5
269,1169465,711jasmink,5
270,325043,712yeeunl,4
271,1169465,712yeeunl,4
272,2341922,712yeeunl,4
273,2194168,712yeeunl,5
274,324891,712yeeunl,4
275,4097409,712yeeunl,5
276,324891,71dkwk,1
277,592658,73현기김,5
278,1379963,749kyoung,5
279,4798715,749kyoung,5
280,1169465,749kyoung,5
281,598499,749kyoung,5
282,609340,749kyoung,5
283,6671988,757소연김,4
284,554537,774nan,4
285,2194168,774nan,4
286,554551,774nan,4
287,324890,774nan,4
288,1643534,774nan,4
289,324888,774nan,5
290,324891,774nan,4
291,592658,774nan,4
292,8693245,78태희김,5
293,4084362,791Seoul,4
294,592507,791Seoul,4
295,8693250,791Seoul,2
296,8822284,791Seoul,3
297,6960656,791Seoul,2
298,7028430,791Seoul,2
299,1579821,791Seoul,4
300,8842556,792heathery,4
301,6671988,792heathery,5
302,324888,7_lawrence_7,5
303,561808,813parkj,3
304,324888,825miranp,5
305,320359,825miranp,5
306,9736432,8519475,4
307,3901448,856jainc,4
308,1962594,856jainc,4
309,4438505,856jainc,4
310,324891,856jainc,4
311,592506,856jainc,3
312,1862191,856jainc,5
313,324891,871sukyungc,5
314,4094957,880824sj,5
315,592506,880824sj,5
316,553546,886hyebinj,4
317,2194168,886hyebinj,5
318,554303,895artist,2
319,592495,89900,5
320,2194168,89900,5
321,324891,89900,5
322,8737878,8ㅅ8,5
323,8737878,8ㅅ8,5
324,324888,8연주정,5
325,10376613,8연주정,5
326,2341922,90minas,5
327,4095680,90minas,4
328,2194168,931정희박,4
329,592658,97097320,5
330,4798710,97097320,5
331,1604009,97097320,4
332,4798711,975minal,4
333,609340,977tang,3
334,8693245,980은주김,5
335,1169465,98victoriay,5
336,554537,AGATHOKIM,3
337,4095502,AH282,4
338,1440196,AH282,5
339,1957627,AH282,5
340,8842556,AHN78,5
341,9796664,AHN按 A,5
342,590748,AHN按 A,3
343,3313701,AHN按 A,5
344,7987267,AHN按 A,5
345,3808296,AHN按 A,4
346,2011401,AHN按 A,4
347,598499,AHN按 A,4
348,3805580,AHN按 A,5
349,1440196,ALJK777,5
350,4798715,ALJK777,5
351,1551271,ALJK777,5
352,4084386,ALJK777,5
353,1169465,ALJK777,4
