placeId,userId,score
650959,603clarencec,5
2202400,604wunl,5
301815,606KennyG,5
307024,60713Amy,4
2159977,60Rajesh,5
7054545,610odaa,3
299536,613coco,5
299536,614janam,5
5540457,617akemiy,5
7358712,617kristin66,4
1640728,627daniel,4
3618306,62goodyear,2
3154953,633hansy,5
8681735,633yujiah,4
12101833,635junes,5
8322447,637julie,5
5897213,648ernestp,5
3477071,650bill,5
7274718,659juney,5
555275,662shyamg,5
3477083,665cat,5
13414457,665kate,3
306127,667lime,3
447940,66Journey,4
306130,66gto66c10,5
10205834,66monkey,4
306113,66scottie,5
9811641,671calumg,5
299154,675434356445,4
8522945,682neerajm,5
299536,688shenm,4
299536,700sanjayv,5
301817,701kenny069,4
455856,702Yin,5
299536,705danishm,5
12242440,705yasuot,5
5250436,706hannah09,4
6663003,711atle,4
299538,713limw,4
10399655,715seungminl,5
6226170,716Jenya,5
3154953,717Diwata,4
602902,718Vivian65,3
754311,718sunhway,4
299776,71Franky_71,5
299152,71prashanthj,5
3618306,723tam,5
8076702,725cl,4
3858610,728Nic,5
306118,73Northernlights,5
611304,73cynnek73,4
5540457,741krisp,4
6876146,746ngc,5
455856,74salt,5
3618306,755kutlua,5
754311,763Kiwi_traveller007,4
7647148,763ct,3
4354707,770sabinek,5
323987,770show,5
2539264,77551,5
3389037,777777Nicolas7777777,4
2202400,777Ally,5
12454272,777Kara,5
6622669,777Kara,5
306130,777alpha,5
306130,77TravelN77,5
3477083,77speedy,5
306130,77traveler2013,5
555275,789Snow,4
4344758,790ivyc,5
10483549,790joe821,5
622211,7ContinentGal,5
306130,7ContinentsX,3
306127,7PW6,5
306127,7Wanderlust123,3
5250436,7nwee1208,4
4105523,800codyl,5
4071531,808Islander,4
299776,808man,5
4354707,80GlobalTraveler30,4
3540875,80nadiah,5
3540875,80sebastian,5
555275,812013LISA,5
7358712,815nickis915,4
1640728,816kingsly,5
622211,820cindyt,3
7647148,821jason,4
3814669,827Lily,4
4777440,82winnie,3
2151168,832liangj,4
7793011,834tent,5
3540875,836lawy,5
10692374,840perline,5
611304,845tahaa,5
6663003,845tahaa,5
1568154,848amalh,4
3477083,852NeverSleeps,4
3540875,852jazb,5
3154953,854tessam,4
650959,867nikkic,4
7112812,868aroundtheworld,5
8118189,868lilyc,2
7834720,870isaganib,4
5250436,882j,4
323987,882touristfromhk,5
1640728,888Steven888,5
555275,889victoriaj,5
306127,88Ravi,3
7686969,897risa,5
306130,8Giac6,5
7613319,8LLL8,4
306130,8Oiseaux,5
3291691,8ad_Bra1n,3
4055360,901sherlyt,5
6552915,903cc,4
4412261,904ninac,5
455446,910yuans,1
12242440,911txn,5
7647148,912richardy,5
622211,919DISAPPOINTEDGUEST,4
611304,919DISAPPOINTEDGUEST,3
10692374,920dm66,5
306127,9211,5
7358712,922marv,5
3656150,924ding,5
7358712,92adam,5
754311,9357MarkY,3
8118189,937chan,4
5460911,939cyl,4
6663003,941Hora,4
