placeId,userId,score
4050286, 은주 김,4
7748139, 은주 김,5
7618195, ok hyun K,5
9008441,007빵,5
1863015,00oo00oo00,5
8489207,02chaho16,5
2330577,061Petere27,5
3934521,099colly,4
4050405,099colly,4
8878069,099colly,4
9070563,099colly,5
8968681,099colly,4
9072770,099colly,4
8906167,099colly,4
8996001,099colly,4
9007115,099colly,4
8902555,099colly,4
8880714,099colly,5
8976267,099colly,5
8882287,099colly,4
9020606,099colly,5
9064374,099colly,4
802853,100QA,5
7097833,101232,5
3934153,101232,5
12097699,101232,5
4030489,101232,5
8877611,101232,5
8958402,101232,5
4073333,101232,5
4072749,101232,5
4070968,101232,5
2390991,103suell,4
4074966,103suell,5
12826440,103suell,5
7748223,103suell,4
9044667,103suell,5
8982212,103suell,5
8936330,103suell,5
4078364,103suell,5
8917057,103suell,5
3933542,103suell,5
8912578,103suell,5
9031831,103suell,5
6352988,107sano,4
8920929,109megw,4
11734384,10dave01,5
7161373,10th,4
8721087,10th,5
2228966,10th,5
7372690,1115SSSSS,4
3200324,112358-12,5
6463317,112yunjic,5
8093520,115なたりーな,5
7788319,115なたりーな,4
6732744,117junitar,4
4030420,11alex123,4
3200324,11wendy,5
1196214,11wendy,5
1174982,11wendy,5
3957610,11wendy,4
3200324,120viviant,4
3336085,12345rover,5
4032449,12345rover,5
6352912,12345rover,5
6207932,123RayS123,5
9077164,123SDF,5
4070667,123SDF,4
9017519,123SDF,3
8886687,123SDF,4
8889868,123SDF,5
9077405,123SDF,5
7106037,123SDF,3
9058098,123SDF,5
4072840,123SDF,1
8886837,123SDF,5
4029839,123SDF,3
9062433,123SDF,4
9051258,123SDF,5
8936397,123SDF,5
9027320,123SDF,3
9053918,123SDF,5
8986343,123SDF,5
9051258,123SDF,5
4034834,123SDF,5
9051258,123SDF,5
8938256,123daeunj,3
12327419,123daeunj,4
7613338,123daeunj,5
5035634,123daeunj,4
10000530,123daeunj,4
4076164,123daeunj,4
9025820,123janee,5
8940841,123janee,5
9036414,123janee,5
3938409,123janee,5
8385329,123janee,5
8934820,123janee,5
8878198,123janee,5
3938409,123janee,5
7747987,123janee,5
8940974,123janee,5
8935857,123janee,5
8876118,123janee,5
4030741,123janee,5
9023393,123janee,5
9017645,123janee,5
10307795,123janee,5
4049659,123janee,5
8953846,123janee,5
7748180,123janee,5
4030489,123janee,5
8954334,123janee,5
8954353,123janee,5
8896990,123janee,5
9059207,123janee,5
9059207,123janee,5
8968754,123janee,5
4078817,123janee,5
8908090,123janee,5
4030040,123janee,5
4033581,123janee,5
10298182,123janee,5
8994499,123janee,5
8990495,123janee,5
8923510,123janee,5
7748563,123janee,5
4070587,123janee,5
8894686,123janee,5
8971210,123janee,5
7748268,123janee,5
8946873,123janee,5
8886908,123janee,5
8886928,123janee,5
8946908,123janee,5
9017332,123janee,5
9048175,123janee,5
8889992,123janee,5
8892359,123janee,5
4076023,123janee,5
8892897,123janee,5
9049985,123janee,5
8892366,123janee,5
4078294,123janee,5
8949844,123janee,5
9026829,123minheey,5
4078532,123minheey,4
8986908,123minheey,5
8893356,123minheey,5
8055496,123minheey,2
8986343,123minheey,5
8946895,123minheey,5
4076086,123minheey,5
4031765,123susan456,3
1237999,123susan456,2
10192704,126dominikp,3
6352912,127ariane,5
4826338,12Heini,5
7105808,12azizaha,5
11621260,12sam4,4
8912667,12sam4,3
8887018,13001998319,5
6494545,133지현김,5
1367399,141090141090,5
4033540,141090141090,5
4032243,141090141090,4
4271347,14HenryO,3
8979687,14maa1,4
8923131,152namkyungl,2
13319623,156leoh,4
8933386,157jungc,5
4080316,157jungc,5
8945029,157jungc,5
8884247,157jungc,5
4033697,157jungc,5
8307962,157jungc,4
9017481,157jungc,5
4032244,157jungc,5
8946904,157jungc,4
8886884,157jungc,5
9068956,157jungc,5
4070934,157jungc,5
7891514,157jungc,4
9017126,157jungc,4
4074993,157jungc,4
7748259,157jungc,5
3972258,157jungc,4
4032366,157jungc,4
9017718,157jungc,4
4033551,157jungc,4
8968926,157jungc,4
8969097,157jungc,4
4070595,157jungc,5
8896704,157jungc,4
8902999,157jungc,4
8970282,157jungc,4
4078813,157jungc,4
8930372,157jungc,4
8893926,157jungc,5
4080188,157jungc,4
4034359,157jungc,4
9062337,157jungc,5
13123947,157jungc,4
8892884,157jungc,3
8892366,157jungc,5
9049843,157jungc,5
8972006,157jungc,5
4074216,157jungc,5
9005755,157jungc,4
9062340,157jungc,4
8890538,157jungc,5
4078611,157jungc,4
9062389,157jungc,4
8944560,157jungc,5
8385329,157jungc,5
8880618,157jungc,5
8942857,157jungc,4
8942448,157jungc,3
8927801,157jungc,3
9036836,157jungc,5
8920836,157jungc,5
9077113,157jungc,4
8927779,157jungc,4
12196302,157jungc,4
8926763,157jungc,4
4030433,157jungc,5
8532279,157jungc,5
9031346,157jungc,5
4070646,157jungc,5
8922663,157jungc,5
8967336,157jungc,4
4076007,157jungc,5
13161949,157jungc,4
4076023,157jungc,5
7747987,157jungc,4
8766377,157jungc,5
9037154,157jungc,4
9075089,157jungc,5
9017832,157jungc,5
8915258,157jungc,4
8878160,157jungc,5
8935181,157jungc,5
4030840,157jungc,5
9074047,157jungc,3
8964597,157jungc,5
8944553,157jungc,5
8876359,157jungc,3
8917507,157jungc,4
8928514,157jungc,5
8968836,157jungc,4
8936123,157jungc,5
4033307,157jungc,4
4073528,157jungc,4
4075548,157jungc,5
4076211,157jungc,4
8786959,157jungc,4
7748040,157jungc,4
9023096,157jungc,5
7748004,157jungc,4
810850,15PeterK,4
1140439,15PeterK,4
4075875,161stella,4
3938386,161stella,5
3937452,161stella,5
4076090,161stella,4
9013375,167신영박,5
1196214,168travellingcouple,5
10257443,16elisag,5
10408307,17limda,5
10408313,17limda,5
8905227,17limda,5
10408291,17limda,5
5927602,187069Mario,4
1174982,192PauloJorge,4
4032277,194ren,3
4034817,194ren,3
7738203,194ren,3
8946911,194ren,4
9003465,194ren,3
10096415,1952Mike,5
8024262,1979jimz,3
8941980,197mihyangk,3
3938868,197mihyangk,4
4029863,197mihyangk,5
8024267,19Christian74,5
1174982,1GirlArmy,5
8428577,1GirlArmy,4
10154101,1Lupe,5
1978666,1Mitzi,5
817367,1Q,3
1777631,1Q,5
1196214,1Q,3
1174982,1Q,5
2476809,1SFOSO,1
6732744,1agrammy,4
1371510,1canadianbear,4
1978666,1dancing_fool,5
4084675,1fastcat,5
8909855,1greenwhite,4
7776796,1greenwhite,4
4075775,1kim2parks,5
3937473,1kim2parks,4
4069700,1kim2parks,3
7748449,1kim2parks,3
8931428,1pint,3
9010217,1pint,2
8905327,1pint,2
8961656,1pint,3
8929426,1pint,2
8891815,1pint,2
8979558,1pint,4
4034435,1pint,4
4073766,1pint,3
9001878,1pint,3
8886873,1pint,3
4076176,1pint,2
8945878,1pint,3
8428577,1scruffy1,5
8982849,2003minunet,4
8940973,2003minunet,4
9017553,2003minunet,3
8762488,2003minunet,4
8878493,2003minunet,4
9038190,2003minunet,4
7087489,2015MFT,4
6207949,2015YoYo5102,5
3329965,202Countries,5
7118098,205sakshij,5
4031220,205sakshij,4
6165366,205sakshij,4
7887245,205sakshij,1
7234250,208heejungj,4
10501145,208heejungj,4
4032706,208heejungj,5
9059183,208heejungj,4
10464344,208heejungj,5
8916925,208heejungj,4
8917087,208heejungj,5
9071816,208heejungj,5
1174982,20Lee,4
6876836,2103traveler,5
8941378,212hyejinm,5
9044766,212hyejinm,5
9028007,212hyejinm,4
8933737,212hyejinm,5
7353424,212hyejinm,4
8989829,212hyejinm,3
4074380,212hyejinm,4
10766329,212hyejinm,5
10755026,212hyejinm,4
8910260,212hyejinm,4
9061932,212hyejinm,4
9017460,212hyejinm,5
4034842,212hyejinm,4
7106002,212hyejinm,4
7748523,212hyejinm,5
9010244,212hyejinm,4
1196214,213LAX,5
1174982,214cheryln,4
2372525,214seanj,4
1143932,214seanj,4
9047463,21cococo,5
9037563,21cococo,3
9044671,21cococo,3
7748340,21cococo,4
8965345,21cococo,4
9014394,21cococo,4
8921488,21cococo,5
4413996,225phil,4
2170347,22saleem123,4
6876865,22xo6,5
3957610,235brandonb,2
3457929,235brandonb,4
7161373,235brandonb,2
1933588,235brandonb,5
1777631,235brandonb,3
10079161,235brandonb,1
7788319,235mayukan,5
4075754,243승민이,5
8974484,243승민이,5
8489204,244adyl,1
8914841,24esa,4
3636658,251pascalj,4
6485833,2525giglio,2
9031147,2525giglio,4
9031147,25959,4
8965341,25959,4
4031600,25959,4
8909854,25959,4
8932436,25959,4
4118627,25959,4
8896992,25959,4
7748491,25959,4
8941731,25959,4
4033804,25959,4
4029427,25959,4
4070873,25959,4
4033554,25959,4
4034815,25959,4
9028032,25959,4
8903735,25959,4
8933616,25959,4
8995544,25959,4
9075086,25959,4
8920804,25959,4
4029570,25959,4
4032150,25959,4
9031139,25959,4
7748019,25959,4
8946443,25959,4
4033325,25959,4
8965057,25959,4
8936291,25959,5
7747980,25959,4
8967293,25959,4
4029443,25Irene1234,5
3636677,25Irene1234,4
1400141,268caseyl,4
1485848,268caseyl,4
8365374,268caseyl,4
8766377,273eunjip,4
7161362,2741Bodensee,5
8135346,2824giulia,5
8135346,284준성박,3
3901506,2865297516,5
1196214,286karing,4
1174982,289laiy,4
1777631,294sandy,4
4069200,29CHIKA,4
1863015,2Bunns,3
8135346,2bcontinew,3
1174982,2cassandrat,4
4084675,2cassandrat,1
6875209,2cassandrat,5
8380760,2gud2race,4
1174982,2jaem,3
1777631,2oldgeesers,5
1174982,2opinionated_guys,4
1140453,2opinionated_guys,2
5229298,2tzimmer,5
802826,2visit,4
2476809,2wanderingbadgers,5
10597969,301DavePage,5
4075494,312-415-212,5
4076000,329hyejiny,4
4074035,329hyejiny,5
7939969,329hyejiny,4
4030612,329hyejiny,4
4050271,329hyejiny,5
11998096,32ebs,5
4075362,32ebs,5
12932453,331L,5
8955379,331L,5
8918967,331L,5
7161358,331rubi,5
8476433,334sunmiy,5
7234173,338crystalk,4
4031003,338crystalk,3
7234173,338crystalk,4
8959960,339미장,5
9006389,33amelie,4
8365377,33amelie,4
4031196,341tarab,5
12657055,341tarab,5
2626435,344SimonS,5
12804774,345lex,5
1174982,345lex,5
12441492,345lex,3
7748274,345lex,5
7748274,345lex,4
4033013,355olivert,4
4030725,367minjib,2
8098442,367skyv,5
10298182,374shinaek,4
9035719,374shinaek,5
4071106,37limh,5
3396019,37limh,4
4078090,37limh,5
4031654,37limh,4
4031633,37limh,3
3939296,37limh,5
4073494,37limh,4
6904237,380andrealm,5
7887245,38568,5
802826,38Thomas,4
1978666,391jacoba,5
1174982,399antoinek,4
3933991,3D-FLAIR,3
8677767,3KittyKat,5
4070609,3Moon,5
3934363,3Moon,4
4075573,3Moon,4
3938951,3Moon,5
4073269,3Moon,4
4050117,3Moon,4
9013658,3Moon,4
4030100,3Moon,4
4078415,3Moon,2
4034271,3Moon,5
4074895,3Moon,4
8959176,3Moon,4
4075642,3Moon,3
9001902,3Moon,2
3943514,3Moon,4
4074895,3Moon,4
4075950,3Moon,4
4075802,3seconds,3
9023352,400ims,4
4030365,400ims,2
9017804,400ims,4
10253322,400ims,3
8929022,400ims,3
7305744,400sitih,4
12261567,402anisah,5
9013669,406대현김,5
3939028,406대현김,5
8965465,406대현김,5
8882079,406대현김,5
9017741,406대현김,5
8879419,406대현김,5
8998552,406대현김,5
8999804,406대현김,5
8877807,406대현김,5
8991059,406대현김,5
8921892,406대현김,5
8990234,406대현김,5
8990150,406대현김,5
8923279,406대현김,5
4075417,406대현김,5
8923781,406대현김,5
4795763,406대현김,5
8940082,406대현김,5
4030165,406대현김,5
8913467,406대현김,5
8912775,406대현김,5
8893412,406대현김,5
8983253,406대현김,5
8982915,406대현김,5
8895373,406대현김,5
9016895,406대현김,5
9016990,406대현김,5
9019533,406대현김,5
9008063,406대현김,5
5044005,406대현김,5
8903003,406대현김,5
4029761,406대현김,5
8904825,406대현김,5
4034295,406대현김,5
4031134,406대현김,5
4033582,406대현김,5
9017504,406대현김,5
8886197,406대현김,5
8911935,406대현김,5
9000801,406대현김,5
8891424,406대현김,5
8896966,406대현김,5
8882313,406대현김,5
8951662,406대현김,5
4076138,406대현김,5
9033197,406대현김,5
4070511,406대현김,5
8947972,406대현김,5
8971290,406대현김,5
3934270,406대현김,5
3938924,406대현김,5
9038670,406대현김,5
9038853,406대현김,5
9043770,406대현김,5
8955012,406대현김,5
4033877,406대현김,5
9047080,406대현김,5
9048234,406대현김,5
8957110,406대현김,5
4035000,406대현김,5
9050588,406대현김,5
3933453,406대현김,5
8958042,406대현김,5
9056186,406대현김,5
9063617,406대현김,5
8959633,406대현김,5
9068384,406대현김,5
9068672,406대현김,5
8968361,406대현김,5
4085152,406대현김,5
8004482,406대현김,5
9031133,406대현김,5
8946298,406대현김,5
9023041,406대현김,5
8943058,406대현김,5
8944152,406대현김,5
4033266,406대현김,5
3938880,406대현김,5
8945397,406대현김,5
9023339,406대현김,5
8762552,406대현김,4
8942144,406대현김,3
9026335,406대현김,5
8945461,406대현김,5
8944856,406대현김,5
8980164,406aa,5
4029987,406aa,5
4050177,406aa,3
8922389,406aa,3
4033363,406aa,4
4029853,406aa,4
4050412,406aa,5
4076210,406aa,4
8882753,406aa,4
9039567,406aa,4
1857138,40girl,5
10197302,410starp,5
8990561,410starp,4
9006597,410starp,4
9019437,410starp,4
8977610,410starp,5
9050839,410starp,5
10197273,410starp,4
5229298,412acep,4
4029235,412acep,4
4786611,415kazuek,5
4073386,416지원신,5
2367758,41태영이,4
10408307,420지영이,5
8875241,422지혜김,5
8780369,422지혜김,4
8804006,422지혜김,5
8960960,422지혜김,5
8948777,423jinal,5
8933358,423jungheek,5
802826,424626,3
4034584,429Happy,5
9070881,42bryant,3
12192486,42bryant,3
10716796,42bryant,3
8886928,42bryant,3
4070257,42bryant,3
9012844,42bryant,3
4077766,42bryant,3
4049718,42bryant,3
4070592,42bryant,4
9029300,42bryant,4
9017832,434인영박,5
4031315,434인영박,4
9017832,434인영박,5
4031315,434인영박,5
8004482,434인영박,3
8960531,434인영박,3
8949840,438jael,5
8758916,441지은박,4
8968465,441지은박,5
8986658,441지은박,4
8879258,441지은박,4
8982468,441지은박,4
8877584,441지은박,5
9023639,441지은박,4
1196214,441faithz,5
8948084,452성은최,4
9028007,46Usagi,4
9008056,473hyunjink,3
8924294,473hyunjink,3
9003458,473hyunjink,5
8929725,473hyunjink,4
9042161,473hyunjink,4
8894153,473hyunjink,4
8952655,473hyunjink,4
8677784,473hyunjink,4
8909767,473hyunjink,4
8970310,473hyunjink,4
13956813,473hyunjink,4
9009948,473hyunjink,4
8930682,473hyunjink,4
8937651,473hyunjink,4
8939271,473hyunjink,4
8939928,473hyunjink,5
8920804,473hyunjink,4
8903003,473hyunjink,4
9023247,473hyunjink,5
8977393,473hyunjink,4
8970519,473hyunjink,4
4034264,473hyunjink,4
9040428,473hyunjink,4
9008891,473hyunjink,4
9077717,473hyunjink,3
8904619,473hyunjink,5
8897490,473hyunjink,4
9068451,473hyunjink,4
8901496,473hyunjink,4
8959875,473hyunjink,4
9008430,473hyunjink,4
9008680,473hyunjink,4
9071102,473hyunjink,4
8905517,473hyunjink,4
9055794,473hyunjink,4
4033703,474eunjungp,4
3944183,484JosephP,4
3297967,48kwant,5
4074063,493Ron,4
8797851,493Ron,3
6497852,493Ron,3
1371740,494intaek,5
8928771,497優,4
2476809,49gabriellep,4
1978666,4NiaJosh,5
8896601,4evergrace,4
9074497,4evergrace,4
4795675,4iyl,3
4072735,4iyl,2
4078236,4iyl,3
10837160,4lusong,1
8468431,4manous,5
4075982,50002015,5
1140399,500rocks,4
7747999,503hjin,5
6463317,506Mark,5
10747919,508shirleyk,4
8931951,508shirleyk,5
8871049,508shirleyk,4
7161373,508shirleyk,4
3336085,50SG,4
2173821,50josephn,5
4049658,50josephn,4
10257443,511lamj,5
1196214,516bostontraveler,4
4034891,524민정김,3
4795758,5252orange,4
1174982,530rachaelt,4
9033259,541andyl,5
8023349,542henryj,5
8022971,542henryj,5
12105800,547howardb,5
8135366,555under,5
7372690,555under,4
8979960,555under,3
3457929,56,5
1367394,56,4
4029235,573kat,5
4076056,577goodday,4
7107953,580mihyel,4
9001853,582dudu,4
3934158,582dudu,4
4050104,582dudu,4
3934115,582dudu,4
7748139,582dudu,4
4033686,582dudu,4
4050389,582dudu,4
4076330,582dudu,4
7748152,582dudu,4
8310055,582dudu,4
4030705,582dudu,4
