12430674,Chingu Guesthouse,"37.545494,126.92203",hotels
12430895,H Avenue Hotel Nokbeon,null,hotels
12454272,Pop at Itaewon Guesthouse,"37.533623,126.98939",hotels
12511642,Hotel Park Hill Myeongdong,"37.55769,126.98165",hotels
12519557,Amazon Guesthouse,"37.532642,126.99304",hotels
12542874,Hotel Parkhabio,"37.481945,127.123474",hotels
12547367,The Recenz Dongdaemun Hotel,"37.56209,127.06161",hotels
12550700,Benikea Premier Yeouido Hotel,"37.51361,126.92151",hotels
12581877,Oasis Hostel,"37.49817,127.03177",hotels
12581921,Hotel Lavieen,"37.511154,127.082184",hotels
12604521,H Avenue Hotel Ewha Univ.,"37.556515,126.942764",hotels
12639491,Ehwa Hotel,"37.564144,126.98797",hotels
12667390,Vestin Boutique,"37.56151,126.99212",hotels
12667661,Navi Hotel Residence,null,hotels
12674038,Hotel Boutique 9 Neungdong,"37.55672,127.080185",hotels
12698628,ibis Styles Ambassador Seoul Yongsan,"37.53173,126.96336",hotels
12707649,Novotel Suites Ambassador Seoul Yongsan,"37.53173,126.96337",hotels
12707683,Novotel Ambassador Seoul Yongsan,"37.531742,126.96335",hotels
12711314,Hotel Bridge,"37.523544,126.88255",hotels
12720709,A314 Hotel,"37.53785,127.07778",hotels
12730428,Hongdae Lazyfox Den Hostel,"37.553123,126.91537",hotels
12730569,P.S. GuestHouse Itaewon,"37.537365,126.988914",hotels
12730914,H Avenue Hotel Shinchon &amp; Idae,"37.55658,126.9424",hotels
12789877,Fillhouse,"37.57157,127.00762",hotels
12856116,Ramada Seoul Sindorim Hotel,"37.506298,126.88539",hotels
12881255,JM Guest house,"37.558567,126.935265",hotels
12940832,Road Myeongdong,"37.561836,126.99399",hotels
12951821,First Stay Hotel,"37.562645,126.97723",hotels
12956021,The State Sunyu Hotel,"37.538372,126.89317",hotels
13009660,Comet Guesthouse,"37.532303,126.972916",hotels
13084680,Feliz Casa,"37.562126,127.00075",hotels
13090210,Petercat Hotel,"37.57508,126.98965",hotels
