class,placeId,score,name_kor,name_eng,location
restaurants,10253328,4.714285714285714,순남시래기 압구정점,Soonnam Siraegi Apgujeong,서울 강남구 압구정로28길 22
restaurants,10253336,3.5,도화원,Dohwawon,서울 영등포구 영등포로 180-1
restaurants,10253358,4.0,야미캄퐁,Yummy Kampong,서울 중구 장충단로13길 20
restaurants,10253361,4.5,삼육공,360,서울 마포구 독막로7길 26
restaurants,10253371,4.5,난전,Nanjeon,서울 마포구 독막로7길 54
restaurants,10253383,4.454545454545454,브릭스피자조인트,Brix Pizza Joint,서울 용산구 이태원로 203
restaurants,10257899,4.0,봉쥬떡볶이,Bongjyu Tteokbokki,서울 종로구 대명길 4
restaurants,10261766,5.0,램스칸,Lambskhan,서울 서초구 서초대로 78길 36
restaurants,10262260,5.0,신세계 떡볶이,Sinsegye Tteokbokki,서울 중구 명동9길 10
restaurants,10262296,3.7142857142857135,낭만김밥,Nangman Gimbap,서울 중구 명동7길 18
restaurants,10265799,3.333333333333333,티그레 세비체리아,Tigre Cevicheria,서울 용산구 대사관로 31길
restaurants,10270601,3.0,이태리식당,Italy Restaurant,서울 중구 퇴계로36길 27
restaurants,10277865,5.0,부쉬,Bush,서울 강남구 언주로85길 7
restaurants,10277883,4.6,프라그로 다이너,Fragro Diner,서울 용산구 한강대로38가길 25
restaurants,10277898,4.0,육회공작소 한양대점,Yukhoe Gongjakso Hanyang University,서울 성동구 마조로7길 5
restaurants,10278109,4.333333333333333,배꼽시계,Baekkop Sigye,서울 마포구 연남로 11
restaurants,10298132,5.0,디 어니스트 드링커,The Honest Drinker,서울 마포구 와우산로29나길 11
restaurants,10298147,3.5,도스타코스 정동점,Dos Tacos Jeongdong,서울 중구 서소문로11길 19
restaurants,10298182,4.5,또보겠지떡볶이집 신촌히어로점,Ddoboketji Tteokbokki Jib Sinchon Hero,서울 서대문구 연세로4길 57
restaurants,10298520,4.5,도토리마을,Dotori Maeul,서울 광진구 천호대로143길 7
restaurants,10298529,4.0,힐링푸드 휴,Healing Food Hue,서울 중구 을지로5길 26
restaurants,10298569,4.833333333333333,꽃 밥에피다,A Flower Blossom on the Rice,서울 종로구 인사동16길 3-6
restaurants,10298611,4.0,초밥파는횟집,Chobap Paneun Hoetjib,서울 강남구 언주로98길 10
restaurants,10298731,5.0,하노이의아침,Good Morning Hanoi,서울 종로구 인사동5길 11
restaurants,10307753,4.0,봉숙이조개전골,Bongsukyi Shellfish Stew,서울 종로구 삼일대로15길 18
restaurants,10307795,5.0,에그썸,EGG THUMB,서울 관악구 관악로14길 98
restaurants,10307798,4.0,미스터램,Mr. LaMb,서울 강남구 봉은사로114길 40
restaurants,10308048,3.0,피맥,PI MAC,서울 강서구 까치산로 172
restaurants,10308074,4.0,돌배기집 서초교보점,Dolbaegijib Seocho Kyobo,서울 서초구 사평대로56길 8
restaurants,10308099,3.6666666666666665,본우리반상 센터원점,Bon Uri Bansang,서울 중구 을지로5길 26
restaurants,10308116,3.0,충무우동김밥,Chungmu Udon Gimbap,서울 중구 퇴계로 217
restaurants,10308126,5.0,떡볶이파티,Tteokbokki Party,서울 중구 필동로 3
restaurants,10308148,3.4,팩토리엠 퇴계로점,Factory M Toegye,서울 중구 퇴계로 238
restaurants,10312616,4.2,마이면,Maimyeon,서울 용산구 보광로 111
restaurants,10318521,2.0,고모네 떡볶이,Gomone Tteokbokki,서울 중구 명동4길 46
restaurants,10321007,4.333333333333333,스와레,Soiree,서울 강남구 도산대로45길 18-4
restaurants,10325814,3.6666666666666665,제일제면소 쌍림점,Cheiljemyunso Ssanglim,서울 중구 동호로 330
restaurants,10336494,3.8,오프레,Aupres French Restaurant,서울 서울 서초구 반포대로4길 12
restaurants,10341547,4.428571428571429,자연별곡,Nature Kitchen,서울 마포구 신촌로 94
restaurants,10341667,4.666666666666667,자연별곡,Nature Kitchen,서울 서울 중구 명동4길 25
restaurants,10341727,4.5,고가길구공탄,Gogagil Gugongtan,서울 용산구 백범로99길 48
restaurants,10341809,5.0,삼영감자,Samyeong Gamja,서울 종로구 계동길 55
restaurants,10342836,3.625,자연별곡,Nature Kitchen,서울 서울 마포구 양화로 153
restaurants,10347259,4.5,바밍고,Barmingo,서울 용산구 이태원로54길 8
restaurants,10347371,4.0,삼백집 센터원점,Sambaekjib,서울 중구 을지로5길 26
restaurants,10348077,4.25,101번지남산돈까스,No.101 Namsan Tonkatsu,서울  98 5-3
restaurants,10354378,5.0,카우떡볶이,Cow Tteokbokki,서울 서대문구 이화여대길 88-21
restaurants,10354382,3.6666666666666665,모범떡볶이,Mobum Topokki,서울 서대문구 연세로7길 46
restaurants,10358582,3.25,캘리포니아피자키친 용산아이파크몰점,California Pizza Kitchen Yongsan I-Park Mall,서울 용산구 한강대로23길 55
restaurants,10366173,5.0,시래마을,Sirae Maeul,서울 송파구 송파대로49길 64
restaurants,10366193,4.75,어메이징 브루잉 컴퍼니,Amazing Brewing Company,서울 성동구 성수일로4길 4
restaurants,10373823,3.0,울라,Oola,서울 마포구 마포대로4다길 31
restaurants,10374103,4.714285714285714,스시이태원,Sushi Itaewon,서울 용산구 보광로59길 62
