class,placeId,score,name_kor,name_eng,location,결과,지번,x,y
restaurants,10197329,4,자마레코드,Jama Record,서울 서대문구 연세로2마길 17,정좌표,,126.942055,37.557933
restaurants,10197362,5,담날,Damnal,서울 성동구 고산자로 269,정좌표,,127.035775,37.563727
restaurants,10197407,3,파리 크라상,Paris Croissant,서울 2620 Nambusunwhan-ro Seocho-gu Seoul South Korea,광역시좌표,,126.977863,37.566412
restaurants,10211619,3.666666667,Thursday Party 2,Thursday Party 2,서울 마포구 와우산로 14-17,인근좌표,,126.92303,37.545291
restaurants,10211641,3.666666667,포 포유,Pho For You,서울 용산구 녹사평대로 246-1,정좌표,,126.987474,37.539599
restaurants,10211659,4.333333333,도스마스,Dos Mas,서울 종로구 성균관로 5길 9,정좌표,,126.996867,37.584289
restaurants,10214365,3.5,이바돔외식패밀리 한양대점,Ebadom Oesik Family Hanyang University,서울 성동구 고산자로6길 40,정좌표,,127.035461,37.558219
restaurants,10222729,5,리나스파파,Lina's Papa,서울 관악구 남현길 76,정좌표,,126.975772,37.473532
restaurants,1022942,4.25,피프티,50 Fifty,서울 646-1 Sinsa-Dong Gangnam-Gu,광역시좌표,,126.977863,37.566412
restaurants,10229463,3,얌타이이태원점,Yum Thai Itaewon,서울 용산구 이태원로 230-2,정좌표,,126.999398,37.535573
restaurants,10235599,4,제일치킨호프,Best Chicken Hof,서울 서초구 서초대로 389,정좌표,,127.023639,37.497058
restaurants,10241262,4,보일드브로커리,Boiled Broccoli,서울   5,광역시좌표,,126.977863,37.566412
restaurants,10253254,3.75,계절밥상 강남롯데점,Seasons Table Gangnam Lotte,서울 강남구 도곡로 401,정좌표,,127.053867,37.497115
restaurants,10253289,4.333333333,더페이지,The Page,서울 서초구 방배로36길 6,정좌표,,126.990583,37.493609
restaurants,10253322,4,바르미샤브샤브n칼국수 왕십리점,Bareumi Shabu-shabu n Kalguksu Wangsimni,서울 성동구 왕십리광장로 17,정좌표,,127.038413,37.559262
restaurants,10253328,4.714285714,순남시래기 압구정점,Soonnam Siraegi Apgujeong,서울 강남구 압구정로28길 22,정좌표,,127.027378,37.525265
restaurants,10253336,3.5,도화원,Dohwawon,서울 영등포구 영등포로 180-1,정좌표,,126.901478,37.52026
restaurants,10253358,4,야미캄퐁,Yummy Kampong,서울 중구 장충단로13길 20,정좌표,,127.007638,37.568666
restaurants,10253361,4.5,삼육공,360,서울 마포구 독막로7길 26,정좌표,,126.919265,37.548977
restaurants,10253371,4.5,난전,Nanjeon,서울 마포구 독막로7길 54,정좌표,,126.92011,37.550057
restaurants,10253383,4.454545455,브릭스피자조인트,Brix Pizza Joint,서울 용산구 이태원로 203,정좌표,,126.996568,37.534811
restaurants,10257899,4,봉쥬떡볶이,Bongjyu Tteokbokki,서울 종로구 대명길 4,정좌표,,127.001063,37.583766
restaurants,10261766,5,램스칸,Lambskhan,서울 서초구 서초대로 78길 36,정좌표,,127.028136,37.494726
restaurants,10262260,5,신세계 떡볶이,Sinsegye Tteokbokki,서울 중구 명동9길 10,정좌표,,126.985011,37.564347
restaurants,10262296,3.714285714,낭만김밥,Nangman Gimbap,서울 중구 명동7길 18,정좌표,,126.984421,37.564513
restaurants,10265799,3.333333333,티그레 세비체리아,Tigre Cevicheria,서울 용산구 대사관로 31길,도로중심좌표,,127.005867,37.534078
restaurants,10270601,3,이태리식당,Italy Restaurant,서울 중구 퇴계로36길 27,정좌표,,126.994909,37.560602
restaurants,10277865,5,부쉬,Bush,서울 강남구 언주로85길 7,정좌표,,127.042678,37.501008
restaurants,10277883,4.6,프라그로 다이너,Fragro Diner,서울 용산구 한강대로38가길 25,정좌표,,126.970837,37.529958
restaurants,10277898,4,육회공작소 한양대점,Yukhoe Gongjakso Hanyang University,서울 성동구 마조로7길 5,정좌표,,127.040647,37.560694
restaurants,10278109,4.333333333,배꼽시계,Baekkop Sigye,서울 마포구 연남로 11,정좌표,,126.92291,37.56076
restaurants,10298132,5,디 어니스트 드링커,The Honest Drinker,서울 마포구 와우산로29나길 11,정좌표,,126.928305,37.554682
restaurants,10298147,3.5,도스타코스 정동점,Dos Tacos Jeongdong,서울 중구 서소문로11길 19,정좌표,,126.972287,37.563642
restaurants,10298182,4.5,또보겠지떡볶이집 신촌히어로점,Ddoboketji Tteokbokki Jib Sinchon Hero,서울 서대문구 연세로4길 57,정좌표,,126.939421,37.558504
restaurants,10298520,4.5,도토리마을,Dotori Maeul,서울 광진구 천호대로143길 7,정좌표,,127.102793,37.546054
restaurants,10298529,4,힐링푸드 휴,Healing Food Hue,서울 중구 을지로5길 26,정좌표,,126.985231,37.567376
restaurants,10298569,4.833333333,꽃 밥에피다,A Flower Blossom on the Rice,서울 종로구 인사동16길 3-6,정좌표,,126.984003,37.575277
restaurants,10298611,4,초밥파는횟집,Chobap Paneun Hoetjib,서울 강남구 언주로98길 10,정좌표,,127.042662,37.504909
restaurants,10298731,5,하노이의아침,Good Morning Hanoi,서울 종로구 인사동5길 11,정좌표,,126.985646,37.572651
restaurants,10307753,4,봉숙이조개전골,Bongsukyi Shellfish Stew,서울 종로구 삼일대로15길 18,정좌표,,126.986467,37.568901
restaurants,10307795,5,에그썸,EGG THUMB,서울 관악구 관악로14길 98,정좌표,,126.957793,37.477817
restaurants,10307798,4,미스터램,Mr. LaMb,서울 강남구 봉은사로114길 40,정좌표,,127.065303,37.512317
restaurants,10308048,3,피맥,PI MAC,서울 강서구 까치산로 172,정좌표,,126.853393,37.552528
restaurants,10308074,4,돌배기집 서초교보점,Dolbaegijib Seocho Kyobo,서울 서초구 사평대로56길 8,정좌표,,127.022925,37.503243
restaurants,10308099,3.666666667,본우리반상 센터원점,Bon Uri Bansang,서울 중구 을지로5길 26,정좌표,,126.985231,37.567376
restaurants,10308116,3,충무우동김밥,Chungmu Udon Gimbap,서울 중구 퇴계로 217,정좌표,,126.995915,37.562422
restaurants,10308126,5,떡볶이파티,Tteokbokki Party,서울 중구 필동로 3,정좌표,,126.996157,37.561289
restaurants,10308148,3.4,팩토리엠 퇴계로점,Factory M Toegye,서울 중구 퇴계로 238,정좌표,,126.998174,37.561937
restaurants,10312616,4.2,마이면,Maimyeon,서울 용산구 보광로 111,정좌표,,126.994378,37.532747
restaurants,10318521,2,고모네 떡볶이,Gomone Tteokbokki,서울 중구 명동4길 46,정좌표,,126.983938,37.561734
restaurants,10321007,4.333333333,스와레,Soiree,서울 강남구 도산대로45길 18-4,정좌표,,127.035803,37.52373
restaurants,10325814,3.666666667,제일제면소 쌍림점,Cheiljemyunso Ssanglim,서울 중구 동호로 330,정좌표,,127.003298,37.563863
restaurants,10336494,3.8,오프레,Aupres French Restaurant,서울 서울 서초구 반포대로4길 12,정좌표,,127.013367,37.481835
restaurants,10341547,4.428571429,자연별곡,Nature Kitchen,서울 마포구 신촌로 94,정좌표,,126.935985,37.554995
restaurants,10341667,4.666666667,자연별곡,Nature Kitchen,서울 서울 중구 명동4길 25,정좌표,,126.984109,37.562465
restaurants,10341727,4.5,고가길구공탄,Gogagil Gugongtan,서울 용산구 백범로99길 48,정좌표,,126.972089,37.536033
restaurants,10341809,5,삼영감자,Samyeong Gamja,서울 종로구 계동길 55,정좌표,,126.986602,37.579777
restaurants,10342836,3.625,자연별곡,Nature Kitchen,서울 서울 마포구 양화로 153,정좌표,,126.92262,37.556505
