class,placeId,score,name_kor,name_eng,latitude,longitude
attractions,1735171,3.3846153846153846,메사,Mesa,37.56043,126.97954
attractions,1758805,3.7160493827160495,청와대,The Blue House (Cheong Wa Dae),37.586517,126.97581
attractions,1761206,4.371428571428571,서울글로벌문화체험센터,Seoul Global Cultural Center,37.56242,126.98506
attractions,1766551,3.925438596491228,쌈지길,Ssamji-gil,37.574013,126.98499
attractions,1772732,4.333333333333333,한국 지역정보 센터,Korea Local Information Center,37.50444,127.00402
attractions,1804662,4.529411764705882,홍릉 수목원,Hongneung Arboretum,37.593555,127.04408
attractions,1809989,4.075268817204301,서울 시립 미술관,Seoul Museum of Art,37.56452,126.97384
attractions,1821360,3.928571428571429,청와대 사랑채,Cheongwadae Sarangchae,37.582905,126.97325
attractions,1831099,4.402439024390244,국립국악원,National Gugak Center,37.477673,127.00956
attractions,1836198,4.134831460674159,국립 고궁 박물관,National Palace Museum of Korea,37.576572,126.97549
attractions,1842046,3.8438661710037176,노량진 수산 시장,Noryangjin Fish Market,37.515,126.94138
attractions,1862191,4.2215686274509805,이화여자대학교,Ewha Womans University,37.56022,126.94569
attractions,1862195,3.6,한국 자수 박물관,The Museum of Korean Embroidery,37.51538,127.03334
attractions,1862199,3.888888888888889,명동 서초 불한증막,Myeongdong Seocobulhanjeungmag,37.56239,126.984
attractions,1908282,4.4,산모퉁이,sanmotoonge,37.59536,126.96798
attractions,1946087,3.571428571428572,그랜드 마트,Grand Mart,37.55525,126.93624
attractions,1956582,4.387096774193549,마장시장,Majang Meat Market,37.570858,127.042
attractions,1957485,3.971428571428572,홍익대학교,Hongik University,37.555077,126.923325
attractions,1957627,4.342298288508556,여의도 공원,Yeouido Park,37.526897,126.92273
attractions,1957629,3.696969696969697,국회 의사당,The National Assembly Building,37.52963,126.91627
attractions,1958930,4.0886075949367084,한국의 집,Korea House,37.560486,126.99486
attractions,1958940,4.331950207468879,홍대앞 거리,Hongik University Street,37.555458,126.92374
attractions,1960133,3.6,중앙고등학교 (겨울연가 촬영지),Choong Ang High School (Location for Winter Sonata),37.583572,126.98687
