class,placeId,score,name_kor,name_eng,location
hotels,12242440,4.2105263157894735,신라스테이 서초,Shilla Stay Seocho,"37.48936,127.03014"
hotels,12244969,3.0,킴스테이 게스트하우스,KimStay,"37.55643,126.93643"
hotels,12251056,4.5,한류 호스텔,Hallyu Hostel,"37.564674,127.00225"
hotels,12257734,4.5,K그랜드호스텔 동대문,K-Grand Hostel Dongdaemun,"37.563023,127.03201"
hotels,12264023,4.8,딜라이트  호텔,,"37.51535,127.1093"
hotels,12264115,4.0,낙원장 호텔,Nagwonjang Hotel,"37.57296,126.98993"
hotels,12273316,3.25,호텔 더 디자이너스 서울역,Hotel The Designers Seoul Station,"37.545483,126.97157"
hotels,12287729,4.691666666666666,G2 호텔,G2 Hotel,"37.56331,126.99033"
hotels,12290061,4.0,로얄스퀘어 호텔,Royal Square Hotel,"37.560467,126.81036"
hotels,12292815,4.0,Hoseong Guesthouse,Hoseong Guesthouse,"37.556355,126.947365"
hotels,1230995,4.454545454545454,호텔아르누보 역삼,,"37.503487,127.04299"
hotels,12310284,4.642857142857143,시그니엘 서울,,"37.512707,127.10255"
hotels,12315022,4.0,호텔렉스빌,Hotel Rexvill,"37.51818,126.910645"
hotels,1236989,3.466666666666667,계림장 게스트하우스,Gyerimjang Guest House,"37.559822,126.985916"
hotels,1236995,4.25,인사동미니호텔,Mini Hotel Insa,"37.575054,126.98546"
hotels,12388243,4.416666666666667,나인브릭호텔,9Brick Hotel,"37.55391,126.920364"
hotels,12430674,4.666666666666667,친구 게스트하우스,Chingu Guesthouse,"37.545494,126.92203"
hotels,12454272,5.0,팝 앳 이태원 게스트하우스,Pop at Itaewon Guesthouse,"37.533623,126.98939"
hotels,12511642,3.1666666666666665,호텔 파크 힐 명동,Hotel Park Hill Myeongdong,"37.55769,126.98165"
hotels,12519557,3.0,아마존게스트하우스,Amazon Guesthouse,"37.532642,126.99304"
hotels,12542874,4.4,호텔 파크하비오,Hotel Parkhabio,"37.481945,127.123474"
hotels,12547367,3.3333333333333335,더리센츠동대문호텔,The Recenz Dongdaemun Hotel,"37.56209,127.06161"
hotels,12550700,4.0,베니키아 프리미어 여의도 호텔,Benikea Premier Yeouido Hotel,"37.51361,126.92151"
hotels,12550987,4.0,디자인호텔 다니엘 캄파넬라,,"37.637356,127.02587"
hotels,12581921,5.0,라비앙호텔,Hotel Lavieen,"37.511154,127.082184"
hotels,12604521,4.0,H 에비뉴 호텔 이대점,H Avenue Hotel Ewha Univ.,"37.556515,126.942764"
hotels,12639491,4.0,이화 호텔,Ehwa Hotel,"37.564144,126.98797"
hotels,12667390,4.0,베스트인 부띠크,Vestin Boutique,"37.56151,126.99212"
hotels,12674038,2.3333333333333335,호텔부티크나인 능동점,Hotel Boutique 9 Neungdong,"37.55672,127.080185"
hotels,12690380,4.842105263157895,그랜드 머큐어 앰배서더 서울 용산,,"37.531742,126.96329"
hotels,12698628,4.666666666666667,이비스 스타일 앰배서더 서울 용산,ibis Styles Ambassador Seoul Yongsan,"37.53173,126.96336"
hotels,12707649,4.473684210526316,노보텔 스위트 앰배서더 서울 용산,Novotel Suites Ambassador Seoul Yongsan,"37.53173,126.96337"
hotels,12707683,4.088888888888889,노보텔 앰배서더 서울 용산,Novotel Ambassador Seoul Yongsan,"37.531742,126.96335"
hotels,12720709,2.0,호텔 A314,A314 Hotel,"37.53785,127.07778"
hotels,12726131,3.0,동대문하우스,,"37.575066,127.027466"
hotels,12730428,4.875,홍대 레이지 폭스 덴 호스텔,Hongdae Lazyfox Den Hostel,"37.553123,126.91537"
