class,placeId,score,name_kor,name_eng,latitude,longitude
restaurants,10436094,4.962962962962963,낭만치맥,Romantic Chimac,37.561024,126.85488
restaurants,10455715,4.5,구스토타코,Gusto Taco USAG Yongsan,37.529884,126.98219
restaurants,10455766,4.666666666666667,노멀바이류니끄,Normal by Ryunique,37.520817,127.02222
restaurants,10472526,5.0,소살리토바닷가재,Sausalito Lobster,37.572224,126.98646
restaurants,10483058,4.0,L'Empreinte Bistro,L'Empreinte Bistro,37.56155,126.9241
restaurants,10492609,4.833333333333333,올드캡,OLDCAP,37.537045,126.98816
restaurants,10510550,4.833333333333333,카페로쏘,Cafe Rosso,37.582863,126.98122
restaurants,10536084,3.6666666666666665,애슐리 노들나루점,Ashley Nodeul Naru,37.525715,126.93841
restaurants,10536992,3.857142857142857,에르메스 까페마당,"Cafe Madang, Maison Hermes Dosan Park",37.522976,127.03518
restaurants,1058133,4.281437125748503,더 플라잉 팬 블루,The Flying Pan Blue,37.534874,126.9944
restaurants,10593507,4.909090909090909,라 마밋 서울,La Marmite Seoul,37.53967,126.9859
restaurants,10597969,4.733333333333333,북촌옥,Bukchonok,37.57937,126.98659
restaurants,10624805,5.0,카페샌드박,Cafe SandPark,37.557415,126.92135
restaurants,10628978,5.0,미쉬매쉬,Mishmash,37.537365,127.000046
restaurants,10629941,3.75,,Olbaan,37.51878,126.92781
restaurants,10642014,4.916666666666667,플람스비스트로 서초점,"Flam's Bistro, German & French Restaurant",37.482517,127.01038
restaurants,10660437,4.416666666666667,더플레이스,The Place,37.55595,126.97333
restaurants,10670911,4.0,포춘레스토랑,Fortune Restaurant,37.5648,127.00505
restaurants,10674489,4.333333333333333,Swoyambhu Restaurant,Swoyambhu Restaurant,37.5517,126.93739
restaurants,10674909,4.333333333333333,부엉이 돈가스,Owl's Cutlet,37.56874,127.00919
restaurants,10676592,4.5606060606060606,보칼리노,Boccalino,37.57034,126.97544
restaurants,10677157,4.25,레스토랑 오늘,O'neul the Korean Cuisine,37.52622,126.99596
restaurants,10677636,3.0,하남돼지집 명동1호점,Hanam Dwaeji Jib Myeongdong 1st,37.56511,126.98375
restaurants,10686479,4.0,HBC고깃집 이태원2호점,HBC Meat House Itaewon 2-ho,37.538425,126.96545
restaurants,10691572,4.809523809523809,소브레메사,Sobremesa,37.502644,127.02387
restaurants,10696724,4.75,2시의 테이블 by 메종 드 꾸숑,2 o'clock's Table by Maison de Cochon,37.52122,127.02256
restaurants,10720358,4.411764705882353,모터시티,Motor City,37.53402,126.98947
restaurants,10730323,4.285714285714286,포치민 - 디타워점,Pho Chi Minh - D Tower,37.5717,126.97971
restaurants,1073239,4.0,스시 효,Sushi Hyo,37.52206,127.04185
restaurants,10747919,3.7529411764705882,쉐이크쉑 강남점,Shake Shack Gangnam,37.502666,127.025375
restaurants,10751158,4.951219512195122,택대리네 인사동마늘보쌈,Insadong Garlic Bossam,37.573963,126.98612
restaurants,10751162,4.9375,택대리네고기집,Taekdaerine Gogi Jib,37.56278,126.99086
restaurants,10764995,4.416666666666667,라페름,La FERME,37.537083,127.00184
restaurants,10782575,4.0,포크포크,Pork Fork,37.655598,127.06221
restaurants,10804960,5.0,마트료시카,Matreshka,37.536137,126.999756
restaurants,10804989,4.571428571428571,뚜르 드 고메,Tour de Gourmet,37.558365,126.97861
restaurants,10805007,4.6,유람 더 그릴,Youlam The Grill,37.558365,126.97861
restaurants,10815836,4.916666666666667,뉴욕 버거 앤 베이글,New York B&B Burger and Bagel,37.49667,127.03121
restaurants,10818105,4.5,제주몬트락 강남2호점,Jeju Montrak Gangnam 2-ho,37.50834,127.0235
restaurants,10825480,4.142857142857143,매란방,Maeranbang,37.5606,127.037964
restaurants,10825574,4.0,온더보더 광화문D타워점,On The Border Gwanghwamun D-Tower,37.57132,126.97895
restaurants,10833119,4.166666666666667,뽀모도로 코엑스몰점,Pomodoro COEX Mall,37.512196,127.05871
restaurants,10833148,4.0,세상의모든아침,Sesangui Modeun Achim,37.52219,126.919914
restaurants,10833156,4.2,하동관 코엑스몰직영점,Hadonggwan COEX Mall,37.51125,127.05972
restaurants,1087908,3.1176470588235294,T.G.I.F. 대학로점,TGI Fridays Daehangno Store,37.58286,127.0021
restaurants,1089519,3.4375,홀리차우 압구정점,HO LEE CHOW Apgujeong Store,37.52237,127.0377
restaurants,10915600,5.0,타니도리,Tanidori,37.51795,127.02202
restaurants,1091660,5.0,딘 1998,DEAN1998,37.49988,127.02529
restaurants,10954364,4.8,태번38,Tavern 38,37.486076,127.00471
