class,placeId,score,name_kor,name_eng,location
attractions,13319719,4.0,영천시장,Yeongcheon Market,서울 서대문구 성산로 704
attractions,13319724,4.333333333333333,망원시장,Mangwon Market,서울 마포구 포은로8길 14
attractions,13412916,5.0,쎈토이뮤지엄&쇼룸,Ssentoy Museum & Showroom,서울 용산구 남산공원길 105
attractions,13436805,4.333333333333333,김포공항 전망대,Gimpo International Airport Observatory Deck,서울 강서구 하늘길 78
attractions,13553491,4.0,종로홍보관,Jongno Public Relations Hall,서울 종로구 종로3길 24-29
attractions,13688351,4.0,House of Go Hui-dong,House of Go Hui-dong,"서울 40 Changdeokgung 5 - gil, Jongno-gu"
attractions,13956902,4.0,사모바위,Samo Bawi,서울 종로구 진흥로 449
attractions,13999912,4.0,강남스타일 말춤 무대,Gangnam Style Horse Dance Stage,서울 강남구 강남대로 406
attractions,14064107,5.0,Popcond Square,Popcond Square,"서울 Hang-dang-dae-ro, 23-gil, 55 Yongsan-gu"
attractions,2269011,4.0,문묘,Munmyo,서울 종로구 성균관로 31
attractions,3805397,3.5,서울대학교 규장각,Gyujanggak Library of Seoul National University,서울 관악구 신림동 관악로 599 103동
attractions,3805417,4.0,리아나 화장박물관,Coreana Art & Culture Complex,서울 강남구 언주로 827
attractions,3805419,4.666666666666667,한국미술박물관,Museum of Korean Art,서울 종로구 창덕궁길 73
attractions,3805517,4.0,태릉,Taereung,서울 노원구 화랑로 681
attractions,3805519,4.625,진관사,Jingwansa Temple,서울 은평구 진관길 73
attractions,3805557,5.0,로봇 박물관,Robot Museum,서울 종로구 동숭동 1-44번지
attractions,3805584,3.0,이화장,Ihwajang House,서울 종로구 이화동 1-2
attractions,3805602,4.75,헌릉과 인릉,Heolleung / Illeung,서울 서초구 헌인릉길 34
attractions,3805624,3.6666666666666665,북촌 생활사박물관,Bukchon Museum Old Fragrance,서울 종로구 북촌로5나길 90
attractions,3805629,4.25,구러시아 공사관,Former Russian Legation,서울 중구 정동길 21-18
attractions,3805630,4.0,숙정문,Sukjeongmun Gate,서울 성북구 성북동 산 25-22
attractions,3805632,2.0,아현동 웨딩드레스거리,Ahyeondong Wedding Street,서울 서대문구 북아현동
attractions,3808276,4.5,혜화문 (홍화문),Hyehwamun Gate (Honghwamun),서울 종로구 창경궁로 185
attractions,3808296,4.0,창의문 (자하문),Changuimun Gate (Jahamun Gate),서울 종로구 부암동
attractions,3808299,4.25,국립중앙박물관 어린이박물관,Children’s Museum of National Museum of Korea,"서울 135, Seobinggo-ro, Seobinggo-dong, Yongsan-gu"
attractions,3954463,3.0,Sinchon Museum of American War Atrocities,Sinchon Museum of American War Atrocities,서울 Sinchon
attractions,3957021,4.666666666666667,북촌 동양 문화 박물관,Asian Art Museum,서울 종로구 삼청동 35-91
attractions,4067949,5.0,아트선재센터,Artsonje Center,서울 종로구 율곡로3길 87
attractions,4068006,3.0,Daewonsa Tibet Museum,Daewonsa Tibet Museum,"서울 831, Juksan-ri, Mundeok-myeon"
attractions,4068109,5.0,Iron Museum,Iron Museum,"서울 97, Ohyang-ri, Gamgok-myeon"
attractions,4068112,4.0,Andong Soju Traditional Food Museum,Andong Soju Traditional Food Museum,"서울 280, Susang-dong"
attractions,4087589,4.0,Gimpo City Hall,Gimpo City Hall,"서울 263-1, Saoe-dong"
attractions,4094818,4.0,Dongduk Art Gallery,Dongduk Art Gallery,"서울 151-8, Gwanhun-dong, Jongno-gu"
attractions,4094832,4.666666666666667,Gallery Now,Gallery Now,"서울 192-13, Gwanhun-dong, Jongno-gu"
attractions,4094887,5.0,Art Center Nabi,Art Center Nabi,"서울 99, Seorin-dong, Jongno-gu"
attractions,4094927,2.0,Gallery Luminarie,Gallery Luminarie,"서울 1323-1, Seocho2-dong, Seocho-gu"
attractions,4095481,4.0,The Central Museum of KyungHee University,The Central Museum of KyungHee University,"서울 1, Hoegi-dong, Dongdaemun-gu"
attractions,4095493,2.0,Mongchon Museum of History,Mongchon Museum of History,"서울 88-3, Bangi-dong, Songpa-gu"
attractions,4095656,5.0,The Korea Museum of Modern Costume,The Korea Museum of Modern Costume,"서울 55-1, Chungsin-dong, Jongno-gu"
attractions,4427534,4.25,플라토,Plateao,서울 중구 태평로2가 150
attractions,4427620,3.6666666666666665,화정박물관,Hwajeong Museum,서울 종로구 평창8길 3
attractions,4427650,5.0,울트라건축박물관,Ultra Architecture Museum,서울 양천구 중앙로 262
