class,placeId,name_kor,name_eng,latitude,longitude
hotels,11704055,K게스트하우스 동대문5호점,K-Guesthouse Dongdaemun 5,37.56533,127.00686
hotels,11725904,  강남,Glad Live Gangnam,37.50825,127.03635
hotels,11725914,참 한옥 게스트 하우스,Charm Hanok Guest House,37.575756,126.989525
hotels,1174409,세림호텔,Saerim Hotel,37.573475,126.984474
hotels,1175377,한강 호텔,Han Kang Hotel,37.548027,127.10973
hotels,1175419,호텔 프린세스,,37.527367,127.03664
hotels,11804600,에이퍼스트호텔 명동,,37.56762,126.98096
hotels,11807873,소풍 더 어반,,37.562313,126.92641
hotels,11827962,호텔카파쓰,,37.50158,127.04105
hotels,11832219,나비호스텔,,37.557926,126.92483
hotels,11836364,강남 선시티게스트하우스,,37.51553,127.02083
hotels,11846421,서촌 가치 비엔비,Seochon Gachi B&amp;B,37.579556,126.96612
hotels,11857609,24게스트하우스 신촌에비뉴,24 Guesthouse Sinchon Avenue,37.55789,126.93765
hotels,11858504,OPPA 호스텔,,37.553436,126.9359
hotels,1186443,뉴 코리아 호텔,New Korea Hotel,37.55827,126.97956
hotels,11864693,필스테이 동국대점,Philstay Dongguk Univ.,37.564465,127.0081
hotels,11875163,칸쿤,,37.48463,127.01285
hotels,11893477,송린 게스트하우스,,37.555676,126.92514
hotels,11920134,써니힐 호스텔 홍대,,37.56055,126.92105
hotels,11925083,동화 킴스 호텔,,37.60946,126.975334
hotels,11928170,공간게스트하우스,,37.558083,126.99558
hotels,11930699,아트뷰 호텔,Artview Hotel,37.56293,126.992226
hotels,11946590,그리드인호텔,Grid Inn Hotel,37.5696,126.99133
hotels,11959021,아임그린게스트하우스,I&#39;m Green Guesthouse,37.59227,126.99284
hotels,11961013,영등포동 6가 71-2,,37.520554,126.90373
hotels,1196129,호스텔 코리아,,37.575535,127.020515
hotels,1196458,리앤노 게스트하우스,,37.561447,126.92109
hotels,11964803,타임트래블러 릴렉스,,37.56042,126.93024
hotels,11964809,서울숲 게스트하우스,,37.477543,127.00857
hotels,1196533,바나나 백패커스,,37.54635,126.97903
hotels,11997899,모노하우스 홍대 3호점,,37.55427,126.918915
hotels,12019574,호텔도트명동,Hotel Dott Myeongdong,37.56182,126.987915
hotels,1202980,홍대 게스트하우스,,37.556564,126.92308
hotels,12033515,호텔더디자이너스 건대점,Hotel The Designers Kondae,37.558506,127.07653
hotels,12079226,호텔조커,Hotel Joker,37.526432,126.88393
hotels,12079770,디에이스호텔,,37.506912,127.05395
hotels,12079886,호텔유리앤,Hotel URI&amp;,37.50894,127.05771
hotels,12094531,도미인 서울 강남,Dormy Inn Seoul Gangnam,37.505795,127.02938
hotels,12101833,알로프트 서울 명동,Aloft Seoul Myeongdong,37.56248,126.98169
hotels,12105731,라마다앙코르서울마곡호텔,,37.56808,126.82634
hotels,12133931,필스테이 명동점,Philstay Myeongdong,37.564102,126.98537
hotels,12154191,포레스타 호텔,,37.562492,127.03515
hotels,12154415,호텔 가온 종로,,37.5705,126.98706
hotels,12171858,길버트 게스트하우스,,37.582253,127.00255
hotels,12188178,호텔이노스테이,Hotel Inno Stay,37.565876,127.05395
hotels,12193383,레피하우스,Refee house,37.523746,127.05243
hotels,12196120,집게스트하우스,,37.547565,126.914925
hotels,12196520,나누게스트하우스케이팝,Nanu Guesthouse KPOP,37.555145,126.91865
hotels,12221592,나인트리 프리미어 호텔 명동2,,37.564316,126.99087
hotels,12222316,스탠다드 호텔,,37.551064,126.86344
hotels,12222773,뜨랑블루 호텔,,37.48453,126.92682
hotels,12222795,K게스트하우스 서울시티점,K-Guesthouse Seoul City,37.56673,126.99011
