class,placeId,score,name_kor,name_eng,location,결과,지번,x,y
attractions,9569019,4.428571429,원각사지 10층석탑,Ten-story Stone Pagoda of Wongaksa Temple Site,서울특별시 종로구 종로1.2.3.4가동 종로 99,정좌표,,126.988018,37.570545
attractions,10779009,4,광희문,Gwanghuimun,서울특별시 중구 광희동 퇴계로 344,정좌표,,127.009665,37.564322
attractions,13151875,5,평화의 소녀상,Statue of Peace,서울 성북구 동소문로3길 11,인근좌표,,127.006673,37.589346
attractions,3805397,3.5,서울대학교 규장각,Gyujanggak Library of Seoul National University,서울 관악구 신림동 관악로 599 103동,인근좌표,,126.957212,37.490355
attractions,4427670,3.666666667,서울대학교병원 의학박물관,Seoul University Hospital Medical Museum,서울 종로구 연건동 28,인근좌표,,127.001814,37.580096
attractions,8019604,4,서대문독립공원,Seodaemun Independence Park,서울 서대문구 통일로 247,인근좌표,,126.958509,37.572748
attractions,8627561,4.5,뮤지엄 김치간,Museum Kimchikan,서울 종로구 인사동 35-4,인근좌표,,126.986985,37.572437
attractions,14956599,5,종로3가 포장마차골목,Jonglo3ga Pojangmacha Geoli,서울특별시 종로구 종로1.2.3.4가동,행정동좌표,,126.988943,37.570751
attractions,14975458,4,종로타워,Jongno Tower,서울 종로구 종로 51,정좌표,,126.9836,37.57075
attractions,14975672,3,동대문운동장기념관,Dongdaemun Stadium Memorial,서울 중구 신당동 853,정좌표,,127.01138,37.567301
attractions,10210051,3.2,누죤,Nuzzon,서울 중구 을지로45길 62,정좌표,,127.013026,37.566954
attractions,10253198,4.4,서울파이낸스센터,Seoul Finance Center,서울 중구 세종대로 136,정좌표,,126.978255,37.568424
attractions,10270564,4.1875,코엑스,COEX Center,서울 강남구 영동대로 513,정좌표,,127.058762,37.512562
attractions,10376613,4.8,망원 한강공원,Mangwon Hangang Park,서울 마포구 마포나루길 467,정좌표,,126.899875,37.552348
attractions,10388757,3,북한산성 방문자센터,Bukhansanseong Visitor Center,서울 은평구 대서문길 43-9,정좌표,,126.94942,37.655643
attractions,10447913,3.5,동대문역사관1398,Dongdaemun History Museum 1398,서울 중구 을지로 281,정좌표,,127.009754,37.566981
attractions,10464413,5,시네코아비밥전용관,CineCore Bibap Theater,서울 종로구 삼일대로 386,정좌표,,126.988052,37.568887
attractions,10686434,4,구로시장,Guro Market,서울 구로구 구로동로22길 18,정좌표,,126.885468,37.489267
attractions,10686449,3.5,남구로시장,Namguro Market,서울 구로구 구로동로26길 33,정좌표,,126.885928,37.490289
attractions,10813620,4.857142857,서울도서관,Seoul Metropolitan Library,서울 중구 세종대로 110,정좌표,,126.97811,37.566612
attractions,10897838,4.75,북악스카이웨이,Bugak Skyway,서울 종로구 평창동 산6-94,정좌표,,126.977118,37.601023
attractions,11434444,4.333333333,국기원,Kukkiwon World Taekwondo Headquarters,서울 강남구 테헤란로7길 32,정좌표,,127.030232,37.502276
attractions,11850476,4,서울창포원,Seoul Iris Garden,서울 도봉구 마들로 916,정좌표,,127.047154,37.689505
attractions,11879393,3.4,눈스퀘어,Noon Square,서울 중구 명동길 14,정좌표,,126.982885,37.563419
attractions,11879406,3.666666667,인사동관광안내소,Insadong Tourist Information Center,서울 종로구 인사동길 62,정좌표,,126.983492,37.575408
attractions,11879469,2.666666667,동대문지하쇼핑센터,Dongdaemun Underground Shopping Center,서울 종로구 율곡로 지하 308,정좌표,,127.009528,37.570412
attractions,11879639,3.5,해밀턴,Hamilton Shopping Center,서울 용산구 이태원로 179,정좌표,,126.993944,37.534761
attractions,11879686,4,하나아트갤러리,Hana Art Gallery,서울 종로구 인사동10길 2,정좌표,,126.985278,37.573927
attractions,11879752,3.333333333,명동지하상가,Myeongdong Underground Shopping Center,서울 중구 남대문로 지하 72,정좌표,,126.982079,37.563565
attractions,11926378,3,세빛섬,undefined,서울 서초구 올림픽대로 683,정좌표,,126.995231,37.512228
attractions,11928572,4.571428571,삼청공원,Samcheong Park,서울 종로구 삼봉로 33,정좌표,,126.979002,37.572594
attractions,11960625,4.25,피규어뮤지엄,Figure Museum,서울 강남구 선릉로158길 3,정좌표,,127.040381,37.525804
attractions,12118155,5,열린극장,Open Hall,서울 종로구 창경궁로 258-12,정좌표,,127.000328,37.583697
attractions,12202187,4.2,경의선숲길,Gyeongui line forest,서울 마포구 와우산로35길 50-4,정좌표,,126.92838,37.556539
attractions,12238654,4,롯데몰 은평점,Lotte Mall Eunpyeong,서울 은평구 통일로 1050,정좌표,,126.950445,37.653634
attractions,12339161,4.5,잠실종합운동장,Jamsil Sports Complex,서울 송파구 올림픽로 25,정좌표,,127.075042,37.514205
attractions,12447861,2,종각지하쇼핑센터,Jonggak Basement Shopping Center,서울 종로구 종로 73,정좌표,,126.985688,37.570363
attractions,12459280,4,시티스타몰,Citistar Mall,서울 중구 을지로 지하 12,정좌표,,126.979388,37.565866
